정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),Column1
명동입구,~,4101,한숲3단지 - 한숲4단지,2023-12-18(월),경로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
명동입구,~,4103,판교대장로동측 - 판교대장로서측,2023-12-18(월),일반인,0,0,0,0,1,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,24,0,21,0,15,1,20,0,10,0,8,0,6,0,0,0,0,0,0,0,0,0,
명동입구,~,4103,판교대장로동측 - 판교대장로서측,2023-12-18(월),청소년,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
명동입구,~,4103,판교대장로동측 - 판교대장로서측,2023-12-18(월),경로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
명동입구,~,4108,나루마을.월드반도 - 나루마을.한화꿈에그린2차,2023-12-18(월),일반인,0,0,0,0,1,0,2,0,2,0,0,0,2,0,5,0,0,0,0,0,1,0,7,0,5,0,8,0,62,0,14,0,7,0,15,0,8,0,5,0,0,0,0,0,0,0,0,0,
명동입구,~,4108,나루마을.월드반도 - 나루마을.한화꿈에그린2차,2023-12-18(월),청소년,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
명동입구,~,4108,나루마을.월드반도 - 나루마을.한화꿈에그린2차,2023-12-18(월),경로,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
명동입구,~,5000A,초당주공3단지후문 - 초당역,2023-12-18(월),일반인,0,0,0,0,0,0,8,0,3,1,4,0,3,0,9,1,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
명동입구,~,5000A,초당주공3단지후문 - 초당역,2023-12-18(월),청소년,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
명동입구,~,5000A,초당주공3단지후문 - 초당역,2023-12-18(월),장애인,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
